,0001111001,1011111100,1100010111,1100110110,1101000000,1111111111
0001111001,0,0,0,0,0,10
1011111100,0,0,0,0,0,10
1100010111,0,0,2,0,0,8
1100110110,0,0,1,0,0,9
1101000000,0,0,3,0,0,7
1111111111,0,0,0,0,0,10
