,0000101111,0000110011,0001111111,0011011110,0100000111,0101001101,0101101011,0101110111,0110101010,1001010110,1010010111,1011011000,1011100111,1100101010,1100111110,1101010111,1110010101,1110101001,1110111011,1111111001,1111111111
0000101111,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0000110011,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111111,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0011011110,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0100000111,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101001101,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0101101011,1,1,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0101110111,2,0,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0110101010,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1001010110,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2
1010010111,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1011011000,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
1011100111,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
1100101010,1,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3
1100111110,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
1101010111,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
1110010101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
1110101001,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
1110111011,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5
1111111001,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6
1111111111,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
