,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.01878528647734663,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.07010483998869269,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.12942707189463326,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.03506543323593429,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.3425959038385712,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.1799067672763695,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.44716022533302946,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.08811323854101491,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.5470269507972202,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",1
0000001010,0.12804813734889692,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.2882299965841706,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.1826067171897729,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.24358863226975544,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.349356054011405,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.3874829481021855,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.06088683775362589,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.1423924449555761,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.11503201757232552,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.0858048661938525,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.5136630111938081,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",1
0000010101,0.26949134662917457,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.18941433950413503,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.4239909313007652,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.10525479224452577,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.19468047385910595,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.22096188035691705,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.34470180161614455,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.48636544249152447,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.3896786593898107,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.27300631739957615,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.42792912874816125,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.21126330966297432,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.16769682593040572,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.03378100493226686,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.2814504796205387,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.1562864907968739,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.2686776376948649,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.1871914491589054,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.3484298295622931,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.15470782082118636,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.2819019587222018,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.23855380755649042,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.38452821939612103,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.25974750505932287,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.30964181300990723,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.37050045252917807,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.4249073955834343,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.25140256528264165,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.3697149821892577,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.3489654501431926,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.40261562046241844,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.24565504980990455,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.2630338940176684,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.39122233074437773,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.5675516760428215,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.31469531621212,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.5282405684890888,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.3447670562802546,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.536118565679515,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.5414194930845254,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.5385590728647834,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.5565856778960436,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.5717166947969639,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.023513289650076492,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.18185449477147841,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.10849410800860224,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.40488539095847403,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.22240626616495124,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,0.38594045631744134,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.4003067934255185,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.4617925845145745,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,0.3368901449228363,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.26287712450742956,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.4158587528475502,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.411198572537245,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,0.4182242256866594,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.5710861219726168,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",1
0001001110,0.4328004923346289,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.4353866663305124,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.24965943095081297,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,0.28316353678779643,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.3407118819477368,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.447962333190679,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.23958171887563406,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.4301276885501105,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.4589657864734591,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.695229700119601,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",1
0001011000,0.1929319692303187,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.5552814748524098,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.4322103256742639,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.46735728556438305,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,0.2959981196526005,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.3781925974818466,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,0.5510159549170818,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,0.6033228578744662,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",0
