,0010011110,0011000011,0100010101,0101000111,0101111101,0101111110,0110110010,0111101100,1000100100,1001101100,1010111011,1100000100,1100000111,1100101101,1101010011,1101101001,1110010100,1110110101,1111001111,1111101101,1111110000,1111111111
0010011110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0011000011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0100010101,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0101000111,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0101111101,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
0101111110,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0110110010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0111101100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
1000100100,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,7
1001101100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
1010111011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
1100000100,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1100000111,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1100101101,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6
1101010011,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1101101001,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5
1110010100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
1110110101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8
1111001111,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
1111101101,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,4
1111110000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
1111111111,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
