,0001010110,0010001111,0011111011,0100001011,0101110110,0110011110,0111001100,1001011101,1001101110,1100101101,1101100101,1110010010,1111011100,1111101011,1111110000,1111111111
0001010110,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
0010001111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
0011111011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
0100001011,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0101110110,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
0110011110,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0111001100,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7
1001011101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1001101110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
1100101101,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,6
1101100101,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7
1110010010,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,5
1111011100,0,0,0,0,0,1,2,2,0,0,0,2,0,1,0,2
1111101011,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,7
1111110000,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,7
1111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
