,0000111111,0001011001,0010010011,0010100111,0011100110,0011111100,0101101100,0101111010,0110001111,0111110001,1000101111,1000110110,1001101011,1010001000,1010011011,1100010011,1100110100,1110101011,1111001011,1111001101,1111100011,1111111111
0000111111,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
0001011001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0010010011,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0010100111,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0011100110,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0011111100,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0101101100,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0101111010,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0110001111,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0111110001,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,2
1000101111,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
1000110110,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1001101011,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5
1010001000,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1010011011,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1100010011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7
1100110100,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3
1110101011,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3
1111001011,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4
1111001101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8
1111100011,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
1111111111,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
