,0001101011,0100011100,0110010100,0110101111,0111011000,0111110101,1000011110,1000110101,1001111100,1010101011,1011100000,1100111101,1101011000,1101101001,1101110000,1101110011,1110001111,1111100011,1111111111
0001101011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0100011100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0110010100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
0110101111,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
0111011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0111110101,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4
1000011110,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
1000110101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
1001111100,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,4
1010101011,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,3
1011100000,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,5
1100111101,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6
1101011000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8
1101101001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
1101110000,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4
1101110011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
1110001111,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,2
1111100011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1111111111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7
