,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.08586420692489138,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.029987489362000717,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.2788585997724919,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.039512405108509674,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.2067308904889347,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.060155723327331295,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.3751847800449389,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.1656077897529764,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.23128039660649335,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.09980487814458965,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.6197762920354533,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",1
0000001100,0.08840729096645036,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.261044463248809,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.1381335154334748,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.22115430209326584,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.21412590389496286,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.26648277298771145,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.11137399451975996,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.3363105582548711,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.10490327344584399,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.41085839108224975,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.3927145781553264,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.4219230784720333,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.08341407645871655,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.4321849290937889,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
