,0000000100,0001010011,0010111111,0011001010,0011010000,0100001100,0100100110,0101010100,0111001011,1001001001,1010001010,1010011100,1010101111,1010110011,1010111110,1011010101,1100101011,1101011010,1101101111,1101110001,1101110010,1110011111,1111001101,1111100111,1111111111
0000000100,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0
0001010011,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2
0010111111,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0011001010,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2
0011010000,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0100001100,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,0
0100100110,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0
0101010100,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0
0111001011,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
1001001001,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2
1010001010,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,3
1010011100,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2
1010101111,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0
1010110011,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,1
1010111110,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2
1011010101,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
1100101011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,1,2
1101011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,1
1101101111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,0,0,3
1101110001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,2,1
1101110010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,3
1110011111,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,1
1111001101,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,2
1111100111,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,2
1111111111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7
