,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.012350340716216258,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.06576696779614485,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.05646210679448942,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.036403375879981346,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.368856348515447,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.29602936656441947,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.31211677555882006,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.18241160870615913,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.06653443806922066,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.30563974968265767,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.30011430867269306,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.0892360797039971,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.19952945207824263,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.25377221581606213,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.5563648081153709,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.4271605544983384,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",1
0000010001,0.278272360774139,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.1159546245835612,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.20325586366384965,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.20899791642999233,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.12232181879688112,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.3553215261477556,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.4504988328312621,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.10409401876611726,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.20835498365605626,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.593859773634224,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.2976786144516967,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.1942640318377553,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.6565568232215129,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",1
0000011110,0.6256038655059264,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.43939894216521225,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.03130989351442051,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.26047793564788135,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.2560363564601571,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.29111108563304616,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.2110250643607899,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.15850101057286908,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.15459872868403574,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.33728979176591534,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.0830612121604048,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.3186608282439248,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.1922886502722576,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.2776899007348619,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.2665640957455702,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.10910642151003766,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.3898830178076097,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.4829577982940319,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.2916993730594381,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.2471479563837568,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.19421141290107238,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.35804768101997386,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.4126256488594656,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.14804407388792967,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.45940923612247153,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.6599889304008447,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.29591815004953453,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.3808039269459125,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.32056110673077426,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.47087419972821426,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.6027229050369503,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.5880516194290173,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.7123176407804548,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.536531136649058,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.047992147317468814,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.5493030676047993,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",1
