,0010101100,0010111111,0101001100,0111001101,1000011110,1000111011,1011101011,1011110000,1100111100,1101011100,1101101111,1110100011,1111100010,1111101100,1111111111
0010101100,3,1,1,0,0,0,0,0,0,0,0,0,0,0,5
0010111111,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7
0101001100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
0111001101,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8
1000011110,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8
1000111011,0,0,0,0,0,3,1,0,0,0,0,0,0,0,6
1011101011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1011110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1100111100,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7
1101011100,0,0,0,3,0,0,0,0,0,0,1,0,0,0,6
1101101111,0,0,0,0,0,0,1,0,0,0,3,0,0,0,6
1110100011,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7
1111100010,0,0,0,0,0,1,2,0,0,0,0,1,0,0,6
1111101100,0,1,0,2,0,0,0,0,1,0,1,0,0,0,5
1111111111,0,1,0,0,0,0,2,0,0,0,1,0,0,2,4
