,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.04676158040690795,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.08528343472415366,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.1752326636756295,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.03848781387676652,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.16909834820242742,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.2296999746821564,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.21327985102264624,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.09942598845856662,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.08113731877062663,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.29486111240381613,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.2830807894881269,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.1851593561090462,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.23614662211412987,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.34832019362633115,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.3497457385521058,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.14274366897548202,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.15934039344803397,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.2442082191381364,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.24688169519264125,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.2256109695224733,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.3553072075424992,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.2595847468502522,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.30547268974078756,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.2660803829969124,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.31410425894993194,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.329195204763731,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.2826855551763293,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.2862638586916631,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.5617228365960366,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",1
0000011110,0.39900781178624745,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.4944850530254472,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.12633362147627386,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.285077105160426,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.12412045239349004,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.2630505835979543,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.32603210471839794,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.3950295550576072,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.3784041168904758,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.40640630991729876,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.21652305683411804,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.3997091891496921,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.3516804041994898,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.29514339331022055,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.3255814547524598,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.3449221974998051,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.3187430527710989,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.5782766316805037,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.16638423425009446,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.34276509712293096,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.2664904348037813,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.43737132447173915,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.40439315641082435,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.3089774420940693,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.4448167656936066,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.5363820864361372,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.26448132221998333,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.4692721899178556,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.4227211630843909,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.4799499993248031,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.34916466509301736,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.49875805129419837,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.44295416336808224,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.4199925819303826,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.15102131641040736,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.20688264919869004,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.22659297740265338,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.33854771007492357,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.14139818126895104,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
