,0100001100,0100111110,0101010111,0101101110,0101110011,0110111010,0111000101,1001010001,1001101011,1011100000,1011101110,1100101000,1101000111,1101010101,1110001010,1110111001,1111110101,1111111111
0100001100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
0100111110,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0101010111,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
0101101110,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0101110011,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5
0110111010,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
0111000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1001010001,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,5
1001101011,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5
1011100000,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7
1011101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1100101000,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,6
1101000111,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6
1101010101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
1110001010,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
1110111001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,4
1111110101,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6
1111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
