,0111010011,1001111011,1010010001,1100010111,1100110001,1100111100,1101110111,1110001010,1110010010,1110111101,1111110000,1111111111
0111010011,0,0,0,0,0,0,0,0,1,6,0,3
1001111011,0,5,0,0,1,0,0,0,0,3,0,1
1010010001,0,2,1,1,0,0,0,0,0,5,0,1
1100010111,0,2,0,2,3,0,0,0,1,1,0,1
1100110001,0,2,0,1,0,0,0,0,0,6,1,0
1100111100,0,1,0,2,0,0,1,0,0,5,0,1
1101110111,0,2,0,0,1,0,1,0,0,4,0,2
1110001010,0,0,0,1,0,0,1,0,0,6,0,2
1110010010,0,0,0,3,2,0,0,1,0,2,0,2
1110111101,0,0,0,0,0,1,0,0,0,8,0,1
1111110000,1,0,1,0,0,0,0,0,2,0,0,6
1111111111,0,2,0,0,0,0,0,0,0,5,0,3
