,0011110111,0101010001,1000110110,1001111000,1100001111,1111111111
0011110111,6,0,0,0,0,4
0101010001,3,2,0,0,1,4
1000110110,5,0,2,0,0,3
1001111000,6,0,0,0,0,4
1100001111,1,0,0,0,2,7
1111111111,1,0,0,0,0,9
