,0001010101,1001111010,1010100001,1010101011,1110001001,1111111111
0001010101,2,0,0,0,0,8
1001111010,0,0,0,1,0,9
1010100001,0,0,0,1,1,8
1010101011,0,0,0,0,0,10
1110001001,0,0,1,0,0,9
1111111111,0,0,0,0,0,10
