,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.09897871757099692,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.09544925071428052,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.17158741349881546,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.08910419275673008,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.2113545094882105,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.13953820484220675,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.2904719165985665,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.08141326133708,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.14970991219704202,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.17189649262736115,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.27024813355629335,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.11834330285645385,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.18888888962527706,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.266170323828604,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.45764854486614914,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.13536859510838964,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.11619364952469505,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.14407132138440226,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.3410370343890401,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.20141867420940135,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.250765795291759,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.2799017119166593,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.3992664324467937,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.24227277788529927,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.316666702473248,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.31178469836331224,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.518918080353961,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.2713279148668125,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.4018591128602112,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.5150072616990039,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.3850550704927047,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.11370732207978551,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.21291777623688735,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.15539515758825823,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.27987793932158317,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.18233237962236962,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.27682826279664885,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.33493100158265054,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.353543413384285,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.13145667531516667,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.2094697217687115,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.3617422601492497,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.2723237773967543,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.3848581622132549,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.41883681214607654,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.4256171062801676,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.43978388227323506,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.14185470945631082,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.3615652591484457,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.3679358337730769,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.3605029511793737,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.253982495586242,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.3997628928151844,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.46042999596781436,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.48466081178459275,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.25338316152035784,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.44709319403620895,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.41711530887537374,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.5117724464315105,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.3457751648678982,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.4530705328927279,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
