,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.07391254634604,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.0733833108283666,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.2864177515199729,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.11844247335613518,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.14301370534678642,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.1666740427704654,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.2091473172406081,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.17441976498611667,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.20650203865238081,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.12606377796378254,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.24488801336508093,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.11658668170107636,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.21988558594919955,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.371704934656956,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.40838662738244486,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.07180368745400141,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.15840094152117065,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.19652965388344423,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.22645104765873392,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.14957258162661768,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.2617396590374976,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.22976403292660186,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.4487754392266616,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.16629072737271375,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.29350575966791403,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.21391841754966268,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.522258343964471,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.33376127646006526,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.4012725093261583,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.33419374595507567,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.5443641232993977,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.06002040086459362,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.3868985383014072,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.15204992274823018,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.27927850145422684,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.41105220441391277,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.4584593703570724,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.38096654008070785,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.45134330346409224,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.20561120850020617,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.24758870043822193,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.24404340006818806,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.2554570646655842,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.3523487711264375,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.27719840142351865,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.2878371575260383,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.412059759441187,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.17706226040405915,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.33390464642324014,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.24535726654596932,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.337368088194489,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.2599674527563021,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.4519248248404565,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.4612395913344188,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.49512116040227433,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.37137022146992454,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.3264952257410896,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.270072266135685,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.5362222040757607,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.3829841039821513,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.4762681032205752,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.4951062451682211,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.5959791978392953,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.07959237736631321,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.1725809155412621,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.15942554752979032,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.3616496438575617,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.26873989492516076,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,0.19633897283513096,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.26932810018399383,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.3377026984973836,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,0.23657735331294605,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.18710000555605072,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.28670299174878733,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.31587475869085835,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,0.265874110191349,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.5057734950342417,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.26622953379857495,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.3987159865332452,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.16130581146118256,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,0.3558455367321229,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.3482535688294075,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.37797161170010907,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.36573707952894424,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.4656282575090358,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.45836580485256706,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.48654566269870847,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.2941044720498425,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.2991254439684018,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.28516709546042207,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.4474460934305586,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,0.3245496089323158,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.36100252936504057,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,0.6148856203717818,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,0.6528839633085096,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",0
0001100000,0.15887799588757573,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0
0001100001,0.4272664409309251,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",0
0001100010,0.2578767230654027,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",0
0001100011,0.14380526147178335,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",0
0001100100,0.22514416394703976,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",0
0001100101,0.5078259197209016,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 1)",0
0001100110,0.3682482859226507,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0)",0
0001100111,0.5151621389079009,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 1)",0
0001101000,0.27849464895664044,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0
0001101001,0.3468197233084432,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 1)",0
0001101010,0.41367535879332484,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0)",0
0001101011,0.3299052952913642,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 1)",0
0001101100,0.43750602092064006,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",0
0001101101,0.5801883556708487,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 1)",0
0001101110,0.5346076617959472,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 0)",0
0001101111,0.5995818093906397,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 1)",0
0001110000,0.30596414300442093,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 0)",0
0001110001,0.44200402692936513,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1)",0
0001110010,0.3657426271535801,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 0)",0
0001110011,0.45996003926792267,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 1)",0
