,0001101111,0101101010,1001001101,1010101110,1111111111
0001101111,1,0,1,0,8
0101101010,3,0,0,0,7
1001001101,0,0,1,0,9
1010101110,0,0,0,3,7
1111111111,0,0,0,0,10
