,0001110001,0101000101,0101110111,0110101011,0111001000,0111101001,1001001111,1001100010,1011101111,1101010101,1101110000,1110001011,1111000101,1111111001,1111111111
0001110001,3,0,1,0,0,0,0,0,0,0,2,0,0,1,3
0101000101,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6
0101110111,1,0,5,0,0,0,0,0,1,0,0,0,0,2,1
0110101011,0,0,4,0,0,1,0,0,1,0,0,0,0,0,4
0111001000,0,0,0,0,0,0,1,0,0,0,0,2,0,1,6
0111101001,0,0,4,0,1,0,0,0,1,0,0,0,0,1,3
1001001111,0,0,1,0,0,0,1,0,5,0,0,0,0,0,3
1001100010,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
1011101111,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4
1101010101,0,1,3,0,0,0,0,0,1,1,0,0,1,0,3
1101110000,0,0,2,0,0,0,1,0,0,1,0,0,0,2,4
1110001011,0,0,1,0,0,0,0,0,0,0,0,2,0,1,6
1111000101,0,1,1,0,0,0,3,0,1,0,0,0,0,0,4
1111111001,1,0,0,0,0,1,0,0,3,0,0,0,0,1,4
1111111111,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4
