,0000110011,0010010111,0100011000,0100101110,0110001100,0111011111,0111101111,1011011001,1100000101,1100111110,1101001001,1101110011,1111001010,1111111111
0000110011,0,0,0,0,0,2,0,0,0,0,0,0,0,8
0010010111,0,2,0,0,0,3,0,0,0,0,0,0,0,5
0100011000,0,0,1,0,0,0,0,0,0,0,1,0,0,8
0100101110,0,0,1,2,0,0,0,0,0,0,0,0,0,7
0110001100,0,1,1,0,0,0,0,0,0,0,0,0,0,8
0111011111,0,0,0,0,1,6,0,0,0,0,0,0,0,3
0111101111,0,0,0,0,0,1,1,0,0,0,0,0,0,8
1011011001,0,0,0,0,0,2,0,2,0,0,0,0,0,6
1100000101,0,1,0,0,0,0,1,0,0,0,0,0,0,8
1100111110,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1101001001,0,0,0,0,0,1,0,0,1,0,1,0,0,7
1101110011,0,0,0,0,0,1,0,0,0,0,0,1,0,8
1111001010,0,0,0,0,0,2,2,0,0,0,0,1,0,5
1111111111,0,0,0,0,0,3,0,0,0,0,0,0,0,7
