,0000011101,0011111001,0101111001,0101111110,0110101011,0110111010,1001101101,1001111111,1011010101,1011100111,1110100100,1111111111
0000011101,4,0,0,1,0,0,0,1,0,0,0,4
0011111001,1,2,0,1,1,0,0,1,0,2,0,2
0101111001,0,0,1,7,0,0,1,0,0,0,0,1
0101111110,1,0,1,1,0,0,0,2,0,0,0,5
0110101011,0,0,0,1,1,0,0,2,0,0,0,6
0110111010,0,0,0,2,0,0,0,0,0,0,0,8
1001101101,0,0,1,0,0,0,0,3,0,2,0,4
1001111111,0,0,0,0,0,0,2,6,0,0,0,2
1011010101,0,0,0,0,0,0,0,4,0,0,0,6
1011100111,0,0,0,0,2,0,0,2,0,1,0,5
1110100100,0,0,0,0,2,0,0,0,0,1,1,6
1111111111,0,0,0,2,0,0,0,2,0,0,0,6
