,1011001111,1100110111,1101011100,1110111100,1111111111
1011001111,2,0,0,0,8
1100110111,0,2,0,0,8
1101011100,0,0,0,1,9
1110111100,0,0,0,0,10
1111111111,0,1,0,1,8
