,0001110011,0100101011,0110100001,1000011010,1001010100,1010001110,1010110000,1011111001,1100011001,1100100011,1101000010,1110011011,1111111111
0001110011,0,0,0,0,0,0,0,0,0,0,0,0,10
0100101011,0,3,1,0,0,0,0,0,0,0,0,0,6
0110100001,0,0,0,0,0,0,0,0,0,0,0,0,10
1000011010,0,0,0,0,0,2,0,0,0,0,0,0,8
1001010100,0,0,0,0,0,0,0,0,0,0,0,0,10
1010001110,0,0,0,0,0,1,0,0,0,0,0,0,9
1010110000,0,1,0,0,0,0,0,0,0,0,0,0,9
1011111001,0,0,0,0,2,0,1,0,0,0,0,0,7
1100011001,0,2,0,2,0,0,0,0,1,0,0,0,5
1100100011,0,0,0,0,0,0,0,0,0,0,1,0,9
1101000010,0,0,0,0,0,0,0,0,0,0,0,0,10
1110011011,0,0,0,1,0,0,0,0,0,0,0,1,8
1111111111,0,0,0,0,0,0,0,0,0,0,0,0,10
