,0000100110,0000111101,0011101111,0100000111,0110001001,0111011011,0111101010,0111111000,1000000100,1000101110,1001111101,1010111101,1011110110,1100110110,1101100011,1111110000,1111111111
0000100110,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6
0000111101,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6
0011101111,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0100000111,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
0110001001,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7
0111011011,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7
0111101010,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0111111000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1000000100,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7
1000101110,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7
1001111101,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
1010111101,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5
1011110110,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,6
1100110110,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
1101100011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1111110000,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7
1111111111,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7
