,0011110010,0100000011,0101100101,1001010011,1010110011,1111111111
0011110010,0,0,0,0,0,10
0100000011,0,3,0,0,0,7
0101100101,0,0,2,0,0,8
1001010011,0,0,0,0,0,10
1010110011,0,0,0,1,2,7
1111111111,0,0,0,0,0,10
