,0010110110,0101110101,0111011011,1001010111,1001011001,1001101101,1001110010,1010101100,1011100011,1100001001,1100101101,1111010011,1111100100,1111111111
0010110110,2,1,0,0,0,0,0,0,0,0,0,0,0,7
0101110101,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0111011011,0,0,6,0,0,0,0,0,0,0,0,0,0,4
1001010111,0,1,1,4,0,0,0,0,0,0,0,0,0,4
1001011001,0,0,0,1,0,1,0,0,0,2,0,0,0,6
1001101101,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1001110010,0,0,0,5,0,0,0,0,0,0,0,0,0,5
1010101100,0,0,3,0,0,1,0,0,0,0,0,0,0,6
1011100011,0,0,1,0,0,0,0,0,2,0,0,0,0,7
1100001001,0,0,0,1,0,0,0,0,0,1,2,0,0,6
1100101101,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1111010011,0,0,3,2,0,0,0,0,0,0,0,0,0,5
1111100100,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1111111111,0,1,1,0,0,0,0,0,0,0,0,0,0,8
