,0001000111,0100010101,0101100111,0110010110,0110101100,0111011110,0111101001,1001011111,1001100111,1001111101,1010010101,1011000010,1011011001,1011101101,1011110010,1100100000,1100100011,1101001010,1101110101,1110011111,1111101100,1111111111
0001000111,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100010101,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101100111,3,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0110010110,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0110101100,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
0111011110,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1
0111101001,0,0,3,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1001011111,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1001100111,1,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1001111101,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1010010101,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3
1011000010,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1011011001,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1011101101,0,0,0,0,0,3,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0
1011110010,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
1100100000,1,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1100100011,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2
1101001010,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3
1101110101,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1110011111,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1111101100,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2
1111111111,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
