,0101010110,0110100011,1110100010,1111001010,1111010010,1111111111
0101010110,0,0,0,0,0,10
0110100011,0,1,1,0,0,8
1110100010,0,1,0,0,0,9
1111001010,0,0,0,1,0,9
1111010010,0,1,1,0,0,8
1111111111,0,0,0,0,0,10
