,0101010110,0110010100,0110011011,0110101010,1000101110,1001000100,1001110010,1010010000,1010100100,1010110011,1100010000,1100010011,1110000010,1110101000,1111111010,1111111111
0101010110,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0110010100,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,4
0110011011,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6
0110101010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
1000101110,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,7
1001000100,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7
1001110010,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6
1010010000,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7
1010100100,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,7
1010110011,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
1100010000,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7
1100010011,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,6
1110000010,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,6
1110101000,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7
1111111010,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8
1111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
