,0100101110,0100110110,0110101001,1001011111,1111111111
0100101110,1,0,0,1,8
0100110110,2,0,0,0,8
0110101001,1,0,1,0,8
1001011111,0,0,0,5,5
1111111111,0,0,0,1,9
