,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.08834544143777372,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.1595301420942778,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.1829976737682958,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.06905592863488245,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.14859474175938814,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.19763990530053463,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.4153532743496223,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.05080103807124782,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.22785426803902295,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.29586067658831067,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.28448977093170436,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.1365553724420122,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.38026272606915734,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.2672680742398269,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.4649797574543238,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.0943455861353137,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.12224418266171536,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.1953618075137863,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.29236646181937004,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.16663505658195096,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.22322126729285477,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.34445565740675527,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.441824823410215,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.17046446677795346,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.27979665913274154,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.32656420863203317,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.4985093793075068,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.3548743901549133,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.420453164788718,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.427662273907804,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.42766380128243936,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.1689242183596209,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.1611158039021227,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.16917998272361712,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.28411498376958816,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.13991808730116967,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.3955418687560318,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.32011186601460595,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.37450680880169457,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.2136968097296405,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.3538871336667372,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.25035831493039773,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.4368272666138078,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.3042247682348692,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.513585972756084,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.3203959058257447,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.5201251145341788,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.17504266034212768,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.34191883684347485,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.3106592474777271,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.3314933546234038,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.3456348047811072,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.4529966322990587,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.48424171719927356,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.438231828332383,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.38820145951134377,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.39792997416572273,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.44540558526822405,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.4501506203609523,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.37654325375226516,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.5607190847645525,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.5732105373309069,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.5754597306772371,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.12973855936441467,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.22281048516425978,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.17184666541535717,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.3100145726238421,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.17908939026266993,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,0.24994552299596098,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.31580573994629896,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.38430492128541466,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,0.22820889717366866,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.24976721536984564,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.27903615037984825,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.4196156887543753,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,0.24262833991463412,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.4743008565002727,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.4691570727650048,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.5449974364645024,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.18096424027208366,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,0.2818243065329996,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.2610895920575126,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.3576907438201649,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.3529259460245788,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.3717772333011355,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.36755155121173366,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.4960175153813886,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.278194844619882,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.39715689270408444,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.3749251675692432,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.5264010903091575,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,0.33504647278864186,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.4942976730120049,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
