,0000110011,0001010101,0001111111,1110101101,1111111111
0000110011,0,0,9,0,1
0001010101,0,1,6,0,3
0001111111,1,0,5,0,4
1110101101,0,0,1,0,9
1111111111,0,0,1,1,8
