,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.08503975295973905,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.0908631908754208,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.22737663735032548,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.09183246060674205,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.15938526866264685,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.1270903430268335,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.22587285505850133,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.05426074246334902,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.15695442844747004,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.12185856902690659,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.30546969042635486,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.19954266210299848,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.3580788064540993,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.3712112993552219,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.3338903368243473,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.060691612406225705,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.1652092164182998,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.16454778079990828,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.30246501814295673,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.2033763078598158,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.2704049398330723,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.3003240284494467,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.5378114586382616,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.16145941508569073,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.3437006662483577,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.3599493025004403,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.4344179672283846,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.28561113873589017,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.3700275400898152,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.35576397377741226,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.546249197774807,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.0751454717646817,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.26856042767759647,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.201735000649589,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.22681083133484745,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.2932968683729291,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.3020123999806255,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.22920239426319935,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.46636408643278193,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.20314585091911735,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.19259993130062328,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.2964032691894955,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.33223018815031885,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.311426091911558,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.4496475018125825,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.4953713952657868,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.4809399429836624,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
