,0101010011,0111111101,1111010010,1111010101,1111111000,1111111111
0101010011,2,6,0,0,0,2
0111111101,0,8,0,0,1,1
1111010010,4,1,0,1,0,4
1111010101,1,5,0,1,0,3
1111111000,0,2,0,0,0,8
1111111111,0,3,0,0,0,7
