,0110100000,1010101011,1011011000,1011101101,1100011010,1111111111
0110100000,0,0,0,0,0,10
1010101011,0,2,0,0,0,8
1011011000,0,0,1,0,0,9
1011101101,0,1,0,1,0,8
1100011010,0,0,0,0,1,9
1111111111,0,0,0,0,0,10
