,Fitness,Location,Maxima
0000000000,0.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.09178105597717388,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.07310396631771204,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.1754671864085535,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.0345216665029325,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.20985020800303422,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.20258991682707292,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.36071927650538327,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.06576265239037578,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.20569637438634228,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.20787994736625026,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.22934325912840758,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.1572208570606353,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.31318071509780326,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.3330396765079676,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.351104437233521,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.12017262339331863,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.19702238166690872,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.1896900311587908,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.27610404998817467,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.21808850273401958,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.34154757551070763,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.2874046168721312,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.41252978947821317,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.16164016078490664,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.34246469525004497,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.32940529491363413,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.4707186364602246,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.2540712942910136,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.2876352099776483,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.3153475437944612,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.4963940113604052,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.07940867865323369,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.23070653008978959,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.22846710554271432,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.29707282389183,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.14641747339880384,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.19767932104464764,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.28885551809906485,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.41303274133945794,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.13380125380291025,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.24824326359354207,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.35966921494149107,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.4314247398690692,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.27333430162698136,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.4401402387383128,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.35555804211928904,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
