_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt
anSvKCj34mToD8tn6,0,Submission 1, ,2021-01-23T00:07:58Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
nTqdrWKNNTqvMfqTD,1,Submission 2, ,2021-01-23T00:08:02Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
xW3NYCFcgpWgEvy4X,2,Submission 3, ,2021-01-23T00:08:04Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
HQNcaq7WBWxiu6DFw,3,Submission 4, ,2021-01-23T00:08:06Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
gpd4BFHhY4bGLCDMw,4,Submission 5, ,2021-01-23T00:08:15Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
6rmsqG4Ntkv5gFKA9,5,Submission 6, ,2021-01-23T00:08:17Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
wPQQj5ePzWCmpstkL,6,Submission 7, ,2021-01-23T00:08:19Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
aSZBvW7ijyzY8SHoF,7,Submission 8, ,2021-01-23T00:08:19Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
mFdfmXEFKSjL3EjJB,8,Submission 9, ,2021-01-23T00:08:20Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
ZygGHCPdF8MzY7Fkg,9,Submission 10, ,2021-01-23T00:08:51Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
Z8TCGBRuZmncGw8PP,10,Submission 11, ,2021-01-23T00:09:23Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
65yRuKtzh36QjuiNS,11,Submission 12, ,2021-01-23T00:09:25Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
Lcz5FK7eZCeWgefow,12,Submission 13, ,2021-01-23T00:09:27Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
2j7kTsvGsZGwZ5Pj8,13,Submission 14, ,2021-01-23T00:09:29Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
DPBWT35jAzDRmuiYL,14,Submission 15, ,2021-01-23T00:09:32Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
rQxsBFyZxunrM8Zdu,15,Submission 16, ,2021-01-23T00:09:35Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
7MduwbuAtvr8AzLEK,16,Submission 17, ,2021-01-23T00:09:39Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
wzxWFM2FFYrRQzcgW,17,Submission 18, ,2021-01-23T00:09:40Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
dgDNrtbE5GhcE8SRB,18,Submission 19, ,2021-01-23T00:09:40Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
6rm96yL2GkTsT4igp,19,Submission 20, ,2021-01-23T00:09:44Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
npAfKGjtq8punHsf2,20,Submission 21, ,2021-01-23T00:09:48Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
96nDABew7AewK6gbz,21,Submission 22, ,2021-01-23T00:09:50Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
sSDBoDCRWzGNRHD3G,22,Submission 23, ,2021-01-23T00:09:55Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
4o9qLxoawn3qpMxr8,23,Submission 24, ,2021-01-23T00:09:58Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
Sb9aDYvXbvbCa7QAA,24,Submission 25, ,2021-01-23T00:10:00Z,30,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
ASzXqnxqGHBfZ9AiP,25,Reflection, ,2021-01-23T00:10:02Z,300,hrFShmefKvHJvGNn2,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
