_id,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
KS5F6Qyq8L4hACYh6,simple,false,2021-03-10T23:10:49Z,,cancelled,,"7xYLkxQMqa9QgaQr6,6HZCC5mTdzybQQPg5,rFJjronxKC5QkEbu5,JirYP9aBSR9y6MipQ,amf6PxFQMYr63uwXL,bmc3curdTQQscrXmT,uSiC298qwKrCmo648,vcfjXHJCX8hsLKMrn,JrB3ZaFoGFauRcZxz,7y2o2WSJd6GanPKJ3,f6pCqzhWJhAupaWih,fQ6s7vhuLj9DKpaQe,KRLnf3Jjh3sJtLafM,HftAsKopL4Bxsjpqn,9q26fbkoE9xuCvqpY,2LSBHTveLg3TW9wCn,EBruNCPZohs5RSG8i,M7wj9YQihYtdgZskm,mqMrf4Znp6XhW9fAu,PyvpGBpEi2x3L2wja,3DNuRkvsNPLF9Jwi4,zsdeTpAnYrzHG9bhc,5QmsYfgFsmuPMX28G,qBE5HncaTZt7Ekaf4,8jw9M3Ysk2EawrxWN,dZiHMP5CxvgBRF2EY,gzZ8mA43sG53utdz3,eKCbw5pX2i6AkvqnD,vE48kGcJHJpfYFJYS,33pEwXidQTnHbZ98R,7fwDDaa5yhkbhNsKP,FFDqLDFCT32RzpiXv,oGDMo3oncqWATv4DF,T7FMa4t2NshYFuCDk,crkTj5HmvXrWRRoLT,BtiboeAs7LnjCpoLa,owbtFPuXQn55R3M8F,ARCTdGrZGNMQABzfs,oQ4EPB8MhK55QuPCD,XoccykeXDv6fyjcPH,kgKWLFvMSs4Ye9TmY,KN2KWk7aXWkScxror,G6F9Ru23bTpyaABjY,73Z4D58iai99Bjrph,atoTNgzBy59DddCXw,YvWRN7qJcn52Yn4Yk,9C6Yxnmw2h57ArKpJ,ouDoumhtGwjjR6Z9T,tDgwrgEzasNWPpDSp,NhA7QLCMMkMZLb2LZ,Ezf6Nuhhc8wpfg76J,wYAqa2P2bfgBvHFpC,9XXHvjmF97DqP7NzT,durKyBuFG26wpAamw,7dKA3iBqRgeGZiLLG,jxe4RewmyhGe9Rh7c,eugWtRyudzuZmZ8tf,wzrQeZ5recyGsG7R9,aYm8D7haLXj7S9mew,seT4GiibeEayWtYe2",2021-03-09T22:40:15Z,2021-03-11T19:47:55Z
ZfuFHM9CSBSCkuWF5,simple,false,2021-03-11T19:40:19Z,,cancelled,,"4rjMBmNRr9FkgSNWA,axSJtHQpPTyHM6HNa,CQzZ2utkmnaTgrEKg",2021-03-11T19:40:15Z,2021-03-11T19:47:50Z
es9bcxA76bYfPBmad,simple,false,2021-03-11T22:00:57Z,,cancelled,,"eYnWfyPuuJqstjnBD,mdfNxeApjyKYp7oWw,o5jJYNuRWw26c5PXp,RzZAhsRjNWND2nQMq,7fKmKmE5ht8JNFGDS,HbgcHbo6aA4LjFjxY,9zojYwTQFpBkbkLEk,pAdKSuJ3rhctHSasc,cXE2y5Zasnuf9JeBr,7BEW2Xgyp7X4Cfvdf,k8Pi9sygKAhH6ymm3,bTxe3LM6J8NTRN5ep,bAEf2NXtngycy6Yai,W8KP2mDr93HNvjQxi,abQzxcqawJrD9C5Yo,EgW9XhfZCQEFLwZci,Q7te94SP6HS3NGyp9,83u4gKY7btYCk8pbC,3GWKLX7oaFSnECDKD,LrMCZvjkbL5BGa4C5,zk5YFwd2rd9gpH7gf,EMLTtx9CLBPSXXvuw,35v2JwTfgrnFqm9Wx,D5zg7QYBfoz9s4vx6,ZnwM4eFJMTJ5rftqs,NcW4ydvoAqPEh22JQ,BDYjvcFu68wbJAegd,AQStDy6HZMZescxa3,gMiLBH6Go6vsfo4L6,kDYM3ZNr856xkzKxz,WjAtKgSjxPkfYBbq3,vdr5QoGuhNPDuJpSJ,kaqt3PYcdw9xeftZ6,pC3z4B9KYmpjNiPxN,wrutx5X9mtuM5ohEe,6K5cGvZ8nLtEdX6A8,cQp3nNMXjQRtfZdJk,WhzsQNZLPiN3Cmce4,NAtddEctQ9PnjdpHX,yat79cth5fNSdPiL3,H6ZRQ3gEBhdc46kMF,FBgewb4gfoRkzm3QJ,PaJLcExhCaZnFY4oL,oLa3BqEQMeGZxAmSD,95SMHQXa7JPLb6udp,2kPcoLPkCbAManiu7,JyLg8CXXnWepCQQSR,kLDv66gBtSibMGXHp,sLfGPsgTLxKxFhZQT,hC8s2rGcgXYDhnsvn,DoYv9rquPErzHhdN4,gLSn47q8SSuzbatbJ,Diz4JDFzg96LruBfw,dYFGc6GtJPPojRPgy,indHgZwKuRD4y6cKP,dhcH3gaqs34dptEiM,R4x2vfp94gBtpJgRt,REeKsqB6xfZ3DYtQZ,xCfHbcikyu9R9vbcv,BzyK6EjnafTw7LFxM",2021-03-11T19:47:52Z,2021-03-13T00:59:30Z
pnYe5PM9eJ4geb3C4,simple,false,2021-03-13T00:47:34Z,,cancelled,,"3zGzqPZt5BfBT9pX7,WvXMGqygEMZyxfXWc,8tLqPHaAeeTJ9wyZ8,btX76WsRApfM7RcFS,qpAF4Ac7oNF8n3aAT,5NCjjBb2rssP9dchh,ad79zW578SBRRK6zx,hJFDnhXGM5v5BhR8o,rWHgWG3mxnajqwa3g,Y6T2FHhEgME2FLWnE,yFbknS9G3cBfmqFe2,K5W9RJZEZJYhemSHn,JC7x92gRQAN9CBMKh,F3fMgXxA98jK25KNi,sopRtaBEuojQWSaGe,H3KD6XEySDcDyfBGS,8vXLcE7GYiSPsZ5at,uu9tQnL6c7rEcX96m,nLzerKGHafxrNjLm5,P9t7hE5iTzxwCprqX,BrbBbLMGaSGA8ko2p,PA7stitFEnD8DzLXe,2kw7PL3kwuvso39fN,4htK3vLGrRwKCjiyF,JjvBB7hwQDXd72zXk,tk2JNKsdTkCBHQpn5,pCGGTBZZAXMApunnP,erGGS66qn7ccAXvEH,PMN2pBHox9ynGc2sv,o6NK7WxxFXELCR8my,Wx4wzfSK2t7txE2jT,ofi3Yrwmoa7F7RF9o,yEw2Pp5QNSmrrjqMs,JXwQYDaAuzJCXYSNe,CFeAWeEn9d2vtnBpL,529YXTqgxNhH7zfNw,NAvtYYruZPHzbCxik,bDF23q44v5Eq9T8nm,Ac9gP5CekrmcFiQvH,kKT3rdWbA7zRjyzDd,9PoQBSvba9mzKnq8y,gFCe6YBrmHHpbkwTg,DLNvAdNxaqg2oLngF,WTDmbJm6635a92mSj,KQQ4gdu3PNYa5SGbp,H5CCY3mop8qPM5gk5,5wT3zJwPTmDSZjb5i,dPjkMaFPR54SENNxK,XLvmCbLMnggggSs9M,Y8GHQPSXvoNpSPXsZ,kkJTXqdbYribGsbKA,wTAP6XAhqr5SzxF9B,PDALSaLFDmbP7cMwC,PL4YKjaopFEkti8EX,DYeqswuJaQKE7vtAo,G9kBndspKeNnqZzFs,RJEE5dNe9iikQEL4h,peb8pDMq6HstfK5R8,ttzcqGe4b5wMLRPGZ,4KmYE5sDCyihxBKmr",2021-03-13T00:47:25Z,2021-03-13T00:59:39Z
ve58S56X3eYCdA3Cd,simple,true,2021-03-13T00:54:41Z,2021-03-13T00:59:13Z,finished,,cfpfE7W5MS53zGBgP,2021-03-13T00:54:30Z,2021-03-13T00:59:29Z
tnPG93ZFraKihS2jY,simple,false,2021-03-16T00:51:06Z,,cancelled,,"xQqbzo25zApcvLnMN,P4BWM4Rsex3XsSwLA,rCSDh5sXxynMKcNE6,CTGXXWS6M3LuiquJZ,GB5Q9tFg9ozuu6JcH,vWZnYD6BEqudQsna2,ZRkregzS4PEbjEoXp,QbhC89v4FwWy94n6f,dpo5q2rEi8Jcfzssq,nppna3XWzS9nER5FR,EHRgt2aEoaEcaCzQL,kDPvNJeLbuyzN4ooB,RBS5rJj44F6Hg3AMT,qKeWuLR2Suwv6RoEw,iYe59b2wschHGzGym,F8SftyoidQZTDqbzt,oNP4nRBsoBzohTzrG,Fy3FCnAE6FN8hzHzG,3fiK6Nf6Gw2QgTY8c,LhKHjhCWd2CacJLJZ,3v9Tn3DodeohXihiy,Hdjvb4XBSk5CSsyFM,9489Px6HMY8Xenyso,jmDpxtTkeL2AEA4xq,HSdk2rAwCWi5Q2aNn,2Gdzd5xJf9w8Hq8vq,5s6nvHiq9RyJvTF82,6jiemeLRqHy3u2v5B,eZbecM2cjREW6fmbt,BBzyAQouYebaJSCdz,bYDttZqEzC7iachnT,R7SBc2rEAKncMyzzS,irowLbKXc3L74YPXn,FGrTWT2SXXogd4nac,mGmannkastWGxYiwv,rWj7TWFjuD8BNkj4r,MSjmka5L3Mg8SaSr5,cwz6xRbCjoqec4sHe,5D87gk22u7ABFpNCH,9Peg2ZkxwRkEptrT7,zxiTy7bEwpwayTk9y,xHWMpMb7XruPhRAfT,iiLqm5NSxsrivHAqb,Dp6e3xkgDBbAf8qT3,u3sKspYLaEp5MNmC5,x75xzJPyHZkyCnT7E,3R7jbtqFa3ar3baBy,dJ2B6u7GQWwfR3eFo,WMwa4s8bJXhNxzqk8,W4mC8upurA2vZL7pD,dczvWyrJP8KfuREBz,f3YKtursKkMMwpb8w,Es4Wh2WMqmtMX69dt,DfPveFygswuMc6aa5,SXQNYxBHS2AGu5nrJ,n27JaTmvE9rD4kncZ,7dh9qNmhqSC7FKjAx,DkyFjGTiCBdhvp4ww,P59eAxHH65gB3Ymau,zGxFozqWw5txqiJ6M",2021-03-13T00:59:32Z,2021-03-17T18:58:27Z
oEdnviqEyfEsDmdWc,simple,false,2021-03-17T18:49:57Z,,cancelled,,"jfsDqWwx7F4JqEwsF,JynMxGygrJsmR9mpG,qoDfgE6Az3bFcXH6k,4igSXAM97duwtnk25,K4oSuRXPCejg5om9g,dK23o5f8C5ZqeHdj6,vwM8SdCnq2rPHBf8H,cxyge2dnXrixmxBSS,ePLknnguj8G75eo6e,4bY9PFFryBRCfKM8M,GWk97MkTiPvSXdQb2,SgBtYs3P3a3wP7qz2,gTtwtsr5Kz2FHoszx,LsH8SZPQENn6HBmy8,XT4oSBsTcx7AjFbE8,eWHuCHCBKZGuRSg3B,vqu5TgFfBXvuRmztv,kfXfkNQJykvk6bf6R,eYwvBxfooy39sjz2T,kr3fCvbSq9A4k5JRB,J8DFCwRDpwqFeZszh,qFGk8wmHZmaBWzgCh,GPWHaFoZNw6p76HyS,f7pGHiZT8a2mNs3Fe,2P3dRPcEnJijHMFmX,acKxyTCZe7wM3fgQL,rBYQx2SjPpjheTPqz,uHEYx2RkrpChhBSNB,GGByhgcSWqFhrd8kY,ogZ5w5Ldow6NKGQ9D,Qy3yq28LeoXqv5NXT,kvE87rsfXzsNKBXmR,zHcMBD9XYtTbZr5yQ,aFm7LgaECsGNwRn34,RtpXj7jz2zPrJjpvX,d52uxmCiPPbcPiQjW,Nokm9q335agjSdJDR,6YdKpxQXagFxMrgmc,4eEZYF94jdQ4guGxK,DsJccyKNozNjbEnaR,BreM9kagqRYuuv9Am,AX8KiEpaXN7euBBGY,9dWHc9cqYzMGnDNPm,8P2d8heuc6zbygvKs,vXXdoxB79oXcqq6rF,BySqJD4wF925uouNt,HSxHC4WkyvapRxX45,gvAPGxT4ByEdbhPyL,eSjFFCmFqNbTpTZcr,Ct4YmpJn5vRjugvmg,zJS774HvDny3nzYnd,TsYQMEDXPv4a3PZLv,sQmR8E4qajYKg4cek,w58NZws6BTZXGxL7Y,23aALX7ZoBxv6v5tP,cgFFcwJb7nzK7nW5B,w7GqLL8ffhFkTNxip,xctbHz5xoQBPeXHwE,ZhqpTiuawhApAHCFh,D3dXSL6wKDK3QfZGZ",2021-03-17T18:49:51Z,2021-03-17T18:58:22Z
cYYY3Rtsqkdxe3eww,simple,true,2021-03-17T18:50:36Z,2021-03-17T18:55:05Z,finished,,LuDjpNuu6n25Qahfb,2021-03-17T18:50:34Z,2021-03-17T18:55:17Z
WNHNSA3cQmKKGK7Td,simple,true,2021-03-17T18:55:25Z,,cancelled,,apSmMigrha2cw5jpv,2021-03-17T18:55:23Z,2021-03-17T18:58:15Z
orjJXYANsBBDauRxP,simple,false,2021-03-20T01:19:20Z,,cancelled,,"fKSH6m7sTvBMMujRd,sSKZuxzcpNzcNAX3W,4yuXSnAeJm9ToZfXx,vqzPiM2DKCL6mFHbp,755ta8DZWg9Jj4wz9,QiSWNz3nHaozMZQFS,892NBh7NSknYAEumB,t2PxnhjZoKsYcso7D,LTRqTH8qWkAriAnno,5jdQeR9y56tRWjxwG,hX5FwN8Wn9rH6nn4u,Jo9uY8XBDscfdQs5p,bmuvb2PPtLoaYJaYc,H4eMxQxrnQ5iyZMhr,BcbEbCkxt8MZ69Emt,3JtKGtgYC8feyubcw,wiKufmtvH8x6Gm6AJ,3wC9JgkLH29zN2KBu,v3pqoYtRfRmwMG7AF,hBqXr7YXhk2zEMgH3,BonLRfWyCxoixDg3X,fuxuRd4LnJjHedR2u,poiHS4ZHgST9eYXY8,w5xBsDG4XsPsmfLpu,c3hs6zeSTXfsnpm3Q,FFGD6ptngdnPibr2R,JotFPYqw3ca3Eky3r,pDMWpWSKmoAgJpgFk,Yz4mnEyM7LCjyEoFE,KPwjtoNepdLLaTW45,2XkkRcBGJGcQkXSpv,dcFJwaptcKKZ2YKTM,fjKLZX8hzg6PL5xr2,oMkqwwiruFd3ynvKL,tChsWC4KcJMTHRKPp,3YEHdeYRkypiw7ePG,LjoqRdbK6BW4zbJmn,bLxpikWbiocCvRpMk,zcGRaqvM5BNDWpbfT,mF4Bmo4s9etRB2Pw2,AAfCbGwYpE7AZN7at,NMuY8KFZLPYZcNXhm,RPCjvEbNanxZJxLPh,vzZfYwXX8HKFXjBst,afwGHtRBvj2ZzKTzF,T3kKcrcWzBNx8TDwy,ouD53qvopEZ4xK8Dk,ARXGujbFzZB3YMQ3N,QPC5DBoDz8ua82bro,JekdsbEyCbwQ86cWn,vmZxKFMoejQxugdYk,9HwMyhtQmEE3bzLYe,kgSSg2kWEi9jiyYCT,4cyFfpuFmyH4GprE9,qdsyPkihQSPh9YgsJ,QDbd893p8D6EqtuAh,EgybLS5wM3Qrr4gMx,rFo4AsnkHhba3AYZp,zYMyWTEuguRfFgcjw,cTymkcywtbXFXdq8k",2021-03-17T18:58:19Z,
MpKYeueK3hLsfvESm,simple,false,2021-03-23T22:01:25Z,,running,,"sMGmhrjf7izuQTwCv,Ay37L5nRrsBX7dns8,tEB8ZPSF2gu5wYekb,ywNWTXGbLhntCHfws,jgs7bw6WfrrtoYSMq,9YGADSeLckwjzZxPE,r4RBR2HGvwvQFBmNg,LPqwZgNzfZLP5oedB,f6xymNxcEvo3vEsD7,5TWbQTmjkpDPJTF8h,N57F37M8d2JWexiLG,nfWogSyH7GX3CyhTG,A4j4w65Yyvx45Zb4b,d3JSCb6g6PxNzPTKL,NguAAnt5mWsXpwLta,P8jaBf6dAZ6XKRkjG,2d7MFiq5XdDGRYL7Z,jNsapTJhkSqREvezp,hZL7ApHY5oqN6aXxC,4PaS6NPgk79wCkZSu,D9zeCBPCZskboY5sZ,BGojLdbN8srGufWq4,5PvdfDQvWEoau6XPs,9hmEWZyzNJPcQmPtD,FHqBSHiEnuX9CP2bb,pCWA8AyKjwy45f9ha,k6Jpi3A28vNbwigGE,zABsAM2Wt7TuAcmZg,5xSjKjnknnz7HGvyK,vmvsQGwSbpR5q3MS4",2021-03-23T22:00:37Z,
